,,,,,,,,,,,cJAva
e1025d9337acd0d39238a786770cbf6bd01c4e92,java,c,html,,,,,,TRUE,TRUE,TRUE
2f5e874201a9598fecfa763db94748d3498b9f1a,java,html,,,,,,,FALSE,TRUE,FALSE
bcae16c441ce48ad745da70495631e530df7824a,java,html,,,,,,,FALSE,TRUE,FALSE
5bd2cba2c2607b7ffa1b3d90891ad9bac4a8ca49,java,html,,,,,,,FALSE,TRUE,FALSE
125a65ee8afaf59844089b65966cd6dacab21bf8,c,java,,,,,,,TRUE,TRUE,TRUE
cb2b3867919dee24fa30ccaa633f59c86fa3e0be,java,html,,,,,,,FALSE,TRUE,FALSE
a4cbe0635f72922955fe059cff93e79580c0c864,html,java,,,,,,,FALSE,TRUE,FALSE
38b0cd7780e12a9c5606c2299e33a4b7ba67d700,c,html,java,,,,,,TRUE,TRUE,TRUE
bb11d1fe3728b657b00262e50f435293dfaa0b49,html,java,,,,,,,FALSE,TRUE,FALSE
4ef76d4f85307ca500a79ad29919faa1240c41b1,html,java,,,,,,,FALSE,TRUE,FALSE
8aae40558452837302bb819f4587eb7cc66a48c2,c,assembly,c++,java,html,,,,TRUE,TRUE,TRUE
03ecf2b0bbaabdf4ecb540236d7bc6e273650360,html,java,,,,,,,FALSE,TRUE,FALSE
e7dc918c6a627dbde9bdc579f5e0e2376dab35f2,html,java,,,,,,,FALSE,TRUE,FALSE
49243f18919212f84ef53f0ae7409e63ce87523d,html,java,,,,,,,FALSE,TRUE,FALSE
72aa450ecb4f376c4c96464ca54ce0bbffdbfb67,html,java,,,,,,,FALSE,TRUE,FALSE
c43fc68bc8f6d4d02da8c925d20cd2740f0a49a1,html,java,,,,,,,FALSE,TRUE,FALSE
2eb51bbb131bf07aeb0847a2a4c7a0d0e488a6f7,c,java,,,,,,,TRUE,TRUE,TRUE
df58c84b5a9e9e1d646cd8055855d558a8fecba6,c,java,,,,,,,TRUE,TRUE,TRUE
e8eea9e68eebfea36aa3c12fc95cd947b91e68d6,html,java,,,,,,,FALSE,TRUE,FALSE
d12a6a317841ec48689716a7adbf6e175a320548,c,java,,,,,,,TRUE,TRUE,TRUE
ebf08cfede26f382ce565186831b7655e1095a2d,java,c,html,,,,,,TRUE,TRUE,TRUE
a59e58cc94d21bb2156f3defc87c13d5497970a3,c,html,java,,,,,,TRUE,TRUE,TRUE
be594bb1f64319bf0088b124641f7cbe1ec48699,html,java,,,,,,,FALSE,TRUE,FALSE
77419e28085677b8c735f29effcc3fdf5c91f6c3,c,java,html,,,,,,TRUE,TRUE,TRUE
55cd72baaa8847ee68984ad0ce9b8b5ad3b6f164,html,java,,,,,,,FALSE,TRUE,FALSE
8b0e08f9df8d63b92bbf913075c5dedb66fa0a13,html,java,,,,,,,FALSE,TRUE,FALSE
a676e3acaa96d35a1c1a7dc9bcf627239f81ea07,c,java,,,,,,,TRUE,TRUE,TRUE
2538690fb42d9e2c1722b56e730df2357622918f,c,java,,,,,,,TRUE,TRUE,TRUE
b5f41ef6c7194ff1f58d1f4c17ff75020c9313a5,c,html,java,,,,,,TRUE,TRUE,TRUE
557b3e1c93d343b152f868c0a9272e624e4b1ca4,java,html,,,,,,,FALSE,TRUE,FALSE
b61e701298377500ffc33c76c0be9c1c493e94d9,c,java,,,,,,,TRUE,TRUE,TRUE
d4c4d2bb13938bfad4f9bdc8d2fcf70b8d1813ac,java,c,assembly,,,,,,TRUE,TRUE,TRUE
00e3608c541bf417004585a63da7109bbf0f0218,java,html,,,,,,,FALSE,TRUE,FALSE
672e362ed85a32478e68e9e5558f561ada1234df,html,java,,,,,,,FALSE,TRUE,FALSE
b9995b2ad0c054fde39eee5b6e8aa66ab0e9a6af,c,java,,,,,,,TRUE,TRUE,TRUE
967da4679302e7d096573d5dc34aa595222d9286,c,html,,,,,,,TRUE,FALSE,FALSE
907e2eb411192a638a3191e8a4923437c5820c7c,c,java,html,,,,,,TRUE,TRUE,TRUE
2db72615b50eb5c0f29725c02c740a2f0d7fc7d9,c,assembly,,,,,,,TRUE,FALSE,FALSE
af18df2bc2f52df81e7b5c619bd86db8489dc873,c,assembly,,,,,,,TRUE,FALSE,FALSE
0e5843995f46900ef212531281e08b224464f413,c,assembly,,,,,,,TRUE,FALSE,FALSE
115ab36fceee69740a01ce49bc27e1908cc237b1,c,assembly,,,,,,,TRUE,FALSE,FALSE
fd07c9e40451e0ec1d0475cd54a83d45ccaea2c0,c,assembly,,,,,,,TRUE,FALSE,FALSE
aeb8719a34756969970603fca4568530d56708af,c,assembly,,,,,,,TRUE,FALSE,FALSE
981c32ee115e9f0d6546a74592875e138222a9d1,c,assembly,python,,,,,,TRUE,FALSE,FALSE
7c5e60b5f47d725036a72162f136272bc407e3a1,assembly,c,,,,,,,TRUE,FALSE,FALSE
84d3253f86dad6b4f261231935675d35fd964b05,assembly,c,,,,,,,TRUE,FALSE,FALSE
58e8b66f70cef2e3c9b0e5a707b45d634cbbf5d9,c,assembly,,,,,,,TRUE,FALSE,FALSE
9c00a3f6742d61404b31268cc773e7130ff43331,c,assembly,python,,,,,,TRUE,FALSE,FALSE
213ed15c70e72d666154c08e2b41dae3f61f20d3,c,assembly,,,,,,,TRUE,FALSE,FALSE
1ff9c604bb214b5a305064af1049577ef783730a,assembly,c,,,,,,,TRUE,FALSE,FALSE
3d56106b07735abef6ae9f032e94f560a0ed2f30,c,assembly,,,,,,,TRUE,FALSE,FALSE
da11bece0fde66fc0268db3a01207dda857e25d2,c,assembly,,,,,,,TRUE,FALSE,FALSE
a90e7c82b3e1e7b9289b2f57bcabb559815b31c0,c,assembly,c++,,,,,,TRUE,FALSE,FALSE
25726a3df92cb9846e31de4a7deee232fa620fcf,c,java,,,,,,,TRUE,TRUE,TRUE
8c06f5762f0cff4fc6918fe75758fa127aec68c4,java,c,,,,,,,TRUE,TRUE,TRUE
72778c97df68bca453df528cb0667ccf094a4bf6,html,java,,,,,,,FALSE,TRUE,FALSE
39e6a5860416f7bad992149817e1da1ba7c460d4,python,assembly,,,,,,,FALSE,FALSE,FALSE
39dccddb606f6fdb8dcb177d416e884041da6e30,assembly,c,,,,,,,TRUE,FALSE,FALSE
bd78c9c3311244dd5f877c915b0dff91621dd253,c,assembly,,,,,,,TRUE,FALSE,FALSE
52891f8a93f9b8de801cca4cf05639422dc9773e,c,assembly,,,,,,,TRUE,FALSE,FALSE
3f5b1375ab1e2b8e3d593e21b27097a4a50f9b83,assembly,c,,,,,,,TRUE,FALSE,FALSE
dee20f8e45c486f5018f31e09bb362992aa498c3,c,assembly,,,,,,,TRUE,FALSE,FALSE
76781972a2200bd71f2a125445aa7db0604ac960,c,html,java,,,,,,TRUE,TRUE,TRUE
4a68e4cd9dda2128fcb3c94e9881ff7389f9b90f,html,java,,,,,,,FALSE,TRUE,FALSE
eaf250c3c686d8597dff63be52f6bc07746428a3,html,java,,,,,,,FALSE,TRUE,FALSE
17a514ecd06b72cd3f28c7c096a4264256e10de9,html,java,,,,,,,FALSE,TRUE,FALSE
1106229a5721a659da5c231ec0e8211119615394,c,assembly,,,,,,,TRUE,FALSE,FALSE
c365ee7577bef00cb3c2c0b5224147aea04138d8,c,assembly,,,,,,,TRUE,FALSE,FALSE
8d2d8086b1365d5fdf71f90e54c1a5b5ca3eee11,java,c,,,,,,,TRUE,TRUE,TRUE
a09e503f19fd87a14f8525fd39307957cbe2afe7,html,java,,,,,,,FALSE,TRUE,FALSE
db6678637b2d3857520c06bffbe935ab2b55aa08,html,java,,,,,,,FALSE,TRUE,FALSE
d992ac54a2a9e7e064ffebcb91e05e7cb86185c7,c,assembly,,,,,,,TRUE,FALSE,FALSE
3370fecdf2175a8ba5b263afe01131dbcf4dbde1,java,html,,,,,,,FALSE,TRUE,FALSE
447d5ee94bdec9e194deaacd8cc119856cbcd8d2,html,java,,,,,,,FALSE,TRUE,FALSE
04e36d156078a4166b7037f4702d45e54598eee6,java,c,assembly,html,,,,,TRUE,TRUE,TRUE
3dbaa7984f6c9a6f93e2678f92dea5041131b0d2,c,java,,,,,,,TRUE,TRUE,TRUE
3d817c54da2738a0549ec4a24a86f8ceabed4802,c,java,,,,,,,TRUE,TRUE,TRUE
82c0ea9df21cb24f72fb75f2cf7ceb41d8dd7f1d,c,java,,,,,,,TRUE,TRUE,TRUE
28d31bb9f6010b577fc6e0ac39c99e02a1f502e5,c,html,java,,,,,,TRUE,TRUE,TRUE
7cfcd2daef9dcab78bd98cd51a695e366b466f8a,html,java,,,,,,,FALSE,TRUE,FALSE
1671b1fb8b74eb4eb935ededc2d1470730b5e006,html,java,,,,,,,FALSE,TRUE,FALSE
a26a696e34e8314cd42f04912343eabdb068bd23,c,java,,,,,,,TRUE,TRUE,TRUE
acf75ce7fee97c7d237825734f2181984fad46ae,java,html,,,,,,,FALSE,TRUE,FALSE
30146f874408dad27cbce51b59933fa14d96fbe8,html,java,,,,,,,FALSE,TRUE,FALSE
0cad4386fa4c9ea5f8ca88b16247db4e5c8fea90,c,assembly,,,,,,,TRUE,FALSE,FALSE
2340e7a777902de61499d47823ad8d5e0eeb6203,c,assembly,,,,,,,TRUE,FALSE,FALSE
3b836249feae6d08d3e6887486e4b9961ddafa09,c,assembly,,,,,,,TRUE,FALSE,FALSE
f2c2a4fce9b3eca9f39b4f3545118bc256da4a73,c,assembly,,,,,,,TRUE,FALSE,FALSE
c3042afaf3f84abbbe9c91bf9bc9896b0d9eb003,c,c++,,,,,,,TRUE,FALSE,FALSE
cf54ca9551e2afce78d8a51b75397158242afb1c,html,java,,,,,,,FALSE,TRUE,FALSE
4e590c94500477ba3f63fbb8b940ed0635ce42fb,c,html,java,,,,,,TRUE,TRUE,TRUE
9e25d52679a1e3bbf72a864cd31e87e90008e26e,html,java,,,,,,,FALSE,TRUE,FALSE
1f98d4f6ffeb1bf6b0f34fb8d3a10a36f41b948e,html,java,,,,,,,FALSE,TRUE,FALSE
0e25e979a278ec6a3a697c0d6d71bb281455ff6a,html,java,,,,,,,FALSE,TRUE,FALSE
004e63c4331bfdac500e3384384f9a256ad55cda,c,html,java,,,,,,TRUE,TRUE,TRUE
543e3fca98a3348305cb1c76727fbbe0c0c559ca,assembly,html,java,,,,,,FALSE,TRUE,FALSE
225296f253dfa9bfeb2d6803b33273405b1762d1,html,java,,,,,,,FALSE,TRUE,FALSE
6944871c42ca2ec06f8c86201ea6efd9bfdba4cb,html,java,,,,,,,FALSE,TRUE,FALSE
9ee115d1a07aa6c5668bb11c56e118f2a79b87b2,c,html,,,,,,,TRUE,FALSE,FALSE
b4c1390af86c45a32d10669e4d1d9f35cac3b11a,html,java,,,,,,,FALSE,TRUE,FALSE
ccaf3c283bf28200057e65b0870ca89bb40fdbdf,html,java,,,,,,,FALSE,TRUE,FALSE
2fef67a08d3a90b8b2a04a0a3cb57a959e22a0a1,html,java,,,,,,,FALSE,TRUE,FALSE
ca9851b31168fe89e83c4a0a669cf996152c6ac4,java,html,,,,,,,FALSE,TRUE,FALSE
